CAMIS,DBA,AIRPORT,BUILDING,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESCRIPTION,CRITICAL_FLAG,SCORE,GRADE,GRADE_DATE,RECORD_DATE,INSPECTION_TYPE
50058069,HENRI'S BACKYARD,ABE,256,American,6/22/2017,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,39,C,6/22/2017,8/28/2017,Pre-permit (Operational) / Re-inspection
40807238,RICHMOND COUNTY COUNTRY CLUB,ABE,1122,American,6/14/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,6/14/2017,8/28/2017,Cycle Inspection / Initial Inspection
40376944,TOMOE SUSHI,ABE,172,Japanese,10/6/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,A,10/6/2015,8/28/2017,Cycle Inspection / Re-inspection
41701178,CRAB SPOT RESTAURANT,ABE,833,Seafood,7/28/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12,A,7/28/2016,8/28/2017,Cycle Inspection / Initial Inspection
41374557,M NOODLE SHOP,ABE,549,Chinese,1/19/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,1/19/2017,8/28/2017,Cycle Inspection / Re-inspection
41688137,LOWER SUITES STOLI BAR SOUTH CLUB LOUNGE,ABE,620,American,1/25/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,1/25/2017,8/28/2017,Cycle Inspection / Initial Inspection
40570634,AN BEAL BOCHT CAFE,ABE,445,American,8/14/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,8/14/2017,8/28/2017,Cycle Inspection / Re-inspection
41552184,NOM WAH TEA/DIM SUM PALOR,ABE,13,Chinese,9/2/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18,B,9/2/2014,8/28/2017,Cycle Inspection / Re-inspection
41696159,LUIGI'S PIZZA & PASTA,ABE,119,Pizza,10/27/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,10/27/2014,8/28/2017,Cycle Inspection / Re-inspection
41611667,SERVICE BAR 7,ABE,11000,American,4/7/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,4/7/2016,8/28/2017,Cycle Inspection / Initial Inspection
50055935,TROPICAL REVIVAL RESTAURANT & CATERING,ABE,1240C,Caribbean,11/15/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,11/15/2016,8/28/2017,Pre-permit (Operational) / Initial Inspection
41468267,ICHI UMI,ABE,6,Japanese,9/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,9/26/2016,8/28/2017,Cycle Inspection / Re-inspection
50000892,ANABLE BASIN SAILING,ABE,Apr-40,American,5/20/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,5/20/2015,8/28/2017,Cycle Inspection / Initial Inspection
50012840,MR. WONTON,ABE,7805,Chinese,6/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/16/2015,8/28/2017,Cycle Inspection / Re-inspection
50042390,BEST EAST STAR RESTAURANT,ABE,8024,Chinese,2/7/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,2/7/2017,8/28/2017,Cycle Inspection / Initial Inspection
